Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
4.0,163.0,1.99,3.0,83070976.0,3558.0,0,0,4,1.0,0.0,0.0,0.0,1
3.5,212763.0,0.99,1.0,9466880.0,3406.0,0,0,9,0.0,0.0,1.0,0.0,0
3.0,24.0,0.0,1.0,4474837.0,33.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,166.0,0.0,4.0,10318615.0,831.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,35905.0,0.99,1.0,13216994.0,1178.0,0,0,12,0.0,0.0,0.0,0.0,1
2.5,268.0,0.99,1.0,5334016.0,2825.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,942.0,0.0,3.0,18093056.0,3093.0,0,0,4,0.0,0.0,0.0,0.0,1
3.5,3135.0,0.0,1.0,9205022.0,361.0,0,0,9,0.0,0.0,1.0,0.0,0
4.0,1435.0,2.99,5.0,22335488.0,2115.0,0,0,4,1.0,0.0,0.0,0.0,0
3.0,680.0,0.0,3.0,4481024.0,1741.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,3015.0,0.0,1.0,10139648.0,2952.0,0,0,4,0.0,1.0,0.0,0.0,1
4.5,688.0,0.0,1.0,70557696.0,2884.0,0,0,4,0.0,0.0,0.0,0.0,1
4.0,113.0,0.99,1.0,48675840.0,2832.0,0,0,4,1.0,0.0,0.0,0.0,0
2.0,291.0,0.99,1.0,9900032.0,2503.0,0,0,17,0.0,0.0,0.0,1.0,0
4.5,62.0,0.0,1.0,22518784.0,2241.0,0,0,12,0.0,0.0,0.0,0.0,1
3.5,1054.0,0.0,1.0,5085584.0,133.0,0,0,12,0.0,0.0,0.0,0.0,0
3.5,9.0,0.0,1.0,16440320.0,2349.0,0,0,4,1.0,0.0,0.0,0.0,1
3.0,657.0,0.0,5.0,25035776.0,2504.0,0,0,4,0.0,1.0,0.0,0.0,1
3.0,47338.0,0.99,1.0,9214976.0,2892.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,1979.0,0.99,1.0,9659320.0,420.0,0,0,4,0.0,1.0,0.0,0.0,0
2.5,654.0,0.99,1.0,13483008.0,3284.0,0,0,4,0.0,0.0,0.0,0.0,0
4.0,213.0,9.99,2.0,22864896.0,3287.0,0,1,4,0.0,0.0,0.0,1.0,0
3.0,15277.0,0.0,1.0,8482816.0,2027.0,0,0,4,0.0,1.0,0.0,0.0,1
3.5,776.0,0.0,3.0,64505856.0,3505.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,5378.0,0.0,1.0,15120306.0,1208.0,0,0,12,0.0,0.0,1.0,0.0,1
4.0,2567.0,4.99,1.0,21422080.0,3059.0,0,0,4,0.0,0.0,0.0,1.0,1
2.5,29.0,0.0,1.0,35214336.0,2737.0,0,0,4,0.0,0.0,1.0,0.0,0
3.5,199585.0,0.0,48.0,145777664.0,3609.0,0,1,17,0.0,0.0,0.0,0.0,0
4.5,143719.0,0.0,66.0,109671424.0,3555.0,0,0,4,0.0,0.0,0.0,1.0,1
3.0,4289.0,0.0,1.0,24214528.0,2894.0,0,1,4,0.0,0.0,0.0,0.0,0
3.0,178.0,0.0,1.0,11965728.0,601.0,0,0,4,1.0,0.0,0.0,0.0,0
3.0,694.0,0.0,1.0,7587880.0,905.0,0,0,12,0.0,0.0,0.0,0.0,0
5.0,6.0,0.99,5.0,19798016.0,2378.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,46861.0,0.99,1.0,8752128.0,2856.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,1639.0,0.99,1.0,35438592.0,2307.0,0,0,4,0.0,0.0,0.0,0.0,0
4.0,148144.0,0.0,1.0,12429966.0,659.0,0,0,12,0.0,0.0,0.0,0.0,0
4.0,7950.0,2.99,1.0,8432232.0,1153.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,517.0,0.0,1.0,22585344.0,1641.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,4049.0,0.99,8.0,49016832.0,2241.0,0,0,4,0.0,0.0,0.0,1.0,1
3.0,345.0,0.0,1.0,5614592.0,3121.0,0,1,4,0.0,0.0,0.0,1.0,1
3.5,7499.0,0.0,1.0,1978912.0,290.0,0,0,4,0.0,0.0,0.0,0.0,0
1.5,18.0,0.0,1.0,75976704.0,3296.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,38008.0,0.99,1.0,7494656.0,2842.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,3650.0,0.0,1.0,16141677.0,159.0,0,0,4,0.0,0.0,1.0,0.0,0
2.5,1604.0,0.0,1,7075285.0,430.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,17680.0,0.0,8.0,52412416.0,2418.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,7.0,0.0,1.0,9431040.0,3293.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,166.0,0.0,1.0,16702740.0,307.0,0,0,9,0.0,0.0,0.0,0.0,0
2.0,868.0,0.0,1.0,15370240.0,2368.0,0,0,12,0.0,0.0,0.0,0.0,0
3.5,10785.0,0.0,5.0,52757132.0,1058.0,0,0,12,0.0,0.0,1.0,0.0,1
4.0,17440.0,4.99,6.0,888494080.0,3365.0,0,0,4,0.0,0.0,0.0,1.0,1
2.5,234.0,0.0,1.0,1098368.0,29.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,95466.0,0.0,2.0,58547200.0,3053.0,0,0,9,1.0,0.0,0.0,0.0,1
2.5,295.0,0.0,1.0,5336201.0,0.0,0,0,9,0.0,0.0,0.0,0.0,0
4.0,178.0,0.99,1.0,9961472.0,1914.0,0,0,4,0.0,0.0,0.0,0.0,0
5.0,960.0,9.99,1.0,364954624.0,2803.0,0,1,12,0.0,0.0,0.0,0.0,0
3.0,3284.0,0.0,1.0,34713600.0,1402.0,0,0,4,1.0,0.0,0.0,0.0,1
4.0,63.0,2.99,17.0,27623424.0,2749.0,0,0,4,1.0,0.0,0.0,0.0,0
2.0,849.0,0.0,1.0,16375808.0,2346.0,0,0,17,0.0,0.0,1.0,0.0,0
3.5,532.0,0.0,1.0,30134272.0,2264.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,746.0,0.0,2.0,12349649.0,495.0,0,0,9,0.0,0.0,0.0,1.0,0
4.0,3910.0,0.0,5.0,22872064.0,1966.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,118.0,0.0,2.0,11697152.0,3041.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,486.0,0.0,1.0,283385856.0,3534.0,0,0,12,0.0,0.0,0.0,0.0,1
3.5,884.0,0.0,1.0,1250034.0,0.0,0,0,9,1.0,0.0,0.0,0.0,1
3.0,80790.0,0.0,1.0,36204544.0,1450.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,1419.0,0.99,1.0,29578240.0,2210.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,30.0,0.99,1.0,63169536.0,2738.0,0,0,9,0.0,0.0,0.0,0.0,0
3.0,297.0,1.99,1.0,3898368.0,2502.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,893.0,3.99,2.0,43512832.0,3512.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,240.0,0.0,1.0,6322647.0,321.0,0,0,4,0.0,0.0,0.0,1.0,1
3.0,1471.0,0.99,2.0,331237376.0,2126.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,123.0,3.99,1.0,36946944.0,3250.0,0,0,12,0.0,0.0,0.0,1.0,0
2.5,6630.0,0.0,1.0,8592384.0,2848.0,0,1,4,1.0,0.0,0.0,0.0,0
3.5,158.0,0.0,1.0,1202176.0,3340.0,0,1,4,0.0,0.0,1.0,0.0,1
2.5,3183.0,0.0,1.0,6794240.0,2493.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,26674.0,0.99,1.0,37340259.0,1078.0,0,0,17,0.0,0.0,1.0,0.0,0
3.5,17409.0,0.0,4.0,211776512.0,3506.0,0,1,4,0.0,0.0,0.0,0.0,1
4.0,84.0,0.99,1.0,7619584.0,2161.0,0,0,4,1.0,0.0,0.0,0.0,0
5.0,7.0,0.99,1.0,13151232.0,2487.0,0,0,17,0.0,0.0,0.0,1.0,0
3.5,286.0,0.99,1.0,14863724.0,407.0,0,0,9,0.0,0.0,0.0,1.0,0
3.0,1620.0,0.0,1.0,11439792.0,900.0,0,0,4,0.0,0.0,0.0,0.0,0
3.5,37435.0,0.0,1.0,11333632.0,1838.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,532.0,0.99,1.0,19387392.0,2272.0,0,0,12,0.0,1.0,0.0,0.0,0
2.0,18.0,0.0,1.0,6556139.0,63.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,836.0,0.0,2.0,24859648.0,2833.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,13618.0,0.0,1.0,25593921.0,1065.0,0,0,4,0.0,1.0,0.0,0.0,1
4.0,64.0,0.99,2.0,53878784.0,1746.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,184.0,0.99,5.0,56263680.0,2265.0,0,0,9,0.0,0.0,0.0,0.0,1
2.5,310.0,0.0,1.0,26754048.0,2693.0,0,0,4,1.0,0.0,0.0,0.0,1
