ID,Average User Rating,User Rating Count,Price,Developer,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
906179616,4.5,20.0,0.0,7,2.0,4395008.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
757183886,4.5,12.0,0.0,1,1.0,60079104.0,1302.0,0,0,4,0.0,0.0,0.0,0.0,0
1163590581,4.0,164.0,0.0,1,2.0,50784256.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
548978651,4.0,11.0,0.0,5,4.0,47779840.0,1974.0,0,0,4,0.0,0.0,0.0,0.0,1
917685276,4.0,28.0,0.0,1,31.0,63180800.0,118.0,1,0,4,0.0,0.0,1.0,0.0,1
342254531,3.0,1620.0,0.0,1,1.0,11439792.0,900.0,0,0,4,0.0,0.0,0.0,0.0,0
475591751,3.5,22.0,0.0,1,1.0,14524416.0,803.0,0,0,4,0.0,0.0,0.0,1.0,1
929294037,4.0,8.0,0.0,115,1.0,41799680.0,211.0,0,0,4,1.0,0.0,0.0,0.0,1
1441783551,4.5,12.0,0.0,7,1.0,108688384.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
833951143,4.5,4136.0,9.99,1,1.0,179816448.0,1147.0,0,0,9,0.0,1.0,0.0,0.0,0
1458082094,3.5,6.0,0.0,1,1.0,315444224.0,0.0,0,0,9,0.0,0.0,0.0,0.0,1
979535403,4.0,122.0,0.0,15,1.0,8179712.0,0.0,0,0,4,1.0,0.0,0.0,0.0,1
681966300,3.5,254.0,6.99,2,1.0,43799552.0,2025.0,0,0,4,0.0,0.0,0.0,1.0,0
1316911967,4.5,15796.0,0.0,1,1.0,73626624.0,528.0,0,0,4,1.0,0.0,0.0,0.0,0
1257482878,5.0,8.0,0.0,1,1.0,25802752.0,13.0,0,0,9,0.0,0.0,0.0,0.0,1
1246582396,4.0,59.0,0.0,8,4.0,772075520.0,217.0,0,0,4,0.0,1.0,0.0,0.0,1
1005783927,4.5,5402.0,0.0,2,1.0,443534336.0,1372.0,0,0,4,1.0,0.0,0.0,0.0,1
545071430,4.0,29.0,0.0,1,20.0,4313088.0,349.0,1,0,4,1.0,0.0,0.0,0.0,0
774619720,5.0,50.0,0.0,1,1.0,329300992.0,1241.0,0,0,4,0.0,0.0,1.0,0.0,0
1144606268,4.5,7.0,0.0,11,1.0,99806208.0,20.0,0,0,4,0.0,0.0,0.0,0.0,1
1002196280,4.0,26.0,0.99,3,1.0,208622592.0,257.0,0,0,12,0.0,0.0,0.0,0.0,1
1421647335,4.5,723.0,0.0,3,1.0,243179520.0,0.0,0,0,12,0.0,1.0,0.0,0.0,0
1059591757,4.5,8.0,0.0,1,1.0,26553344.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
1031870897,4.5,11.0,0.0,1,2.0,493310976.0,763.0,0,0,12,0.0,0.0,0.0,0.0,1
1201662688,4.5,12.0,0.0,2,1.0,391449600.0,8.0,0,0,9,0.0,0.0,0.0,0.0,1
1000395331,5.0,6.0,0.0,1,1.0,32792576.0,34.0,0,0,4,1.0,0.0,0.0,0.0,1
1031799942,4.5,21.0,0.0,5,1.0,6803456.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
