ID,Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases,age_range,size_range
907484679,1,8.0,0.0,1.0,6802432.0,897.0,0,0,4,1.0,0.0,0.0,0.0,0,0,0
961382659,1,7.0,0.0,1.0,3481600.0,13.0,1,0,4,1.0,0.0,0.0,0.0,0,0,0
1047461465,1,48.0,0.0,1.0,45434880.0,29.0,0,0,9,0.0,0.0,0.0,0.0,1,0,1
1081300467,1,1633.0,0.0,31.0,75151360.0,516.0,0,0,9,0.0,0.0,0.0,0.0,1,0,2
560178257,1,14.0,0.0,1.0,10444129.0,12.0,0,0,4,1.0,0.0,0.0,0.0,0,0,0
921608999,1,122.0,0.0,1.0,150720512.0,888.0,0,0,12,0.0,0.0,1.0,0.0,1,0,3
1057415516,1,2632.0,0.0,1.0,184579072.0,60.0,0,0,4,0.0,0.0,0.0,0.0,1,0,4
654645328,0,10.0,0.0,1.0,180060160.0,366.0,0,0,12,0.0,0.0,0.0,0.0,1,0,4
1005369710,1,11.0,0.0,1.0,32111616.0,1.0,0,0,4,1.0,0.0,0.0,0.0,1,0,1
1017224683,1,168.0,0.0,1.0,104742912.0,234.0,0,0,12,0.0,0.0,1.0,0.0,1,0,2
890297395,0,7.0,0.0,1.0,7270400.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1,0,0
1205365765,0,14.0,0.0,1.0,84196352.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,2
601115287,0,25.0,0.0,1.0,7988945.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0,0,0
645190965,0,40.0,0.0,1.0,22424576.0,1426.0,0,0,4,0.0,0.0,0.0,0.0,0,0,0
692669501,0,63431.0,0.0,11.0,704219136.0,2099.0,0,0,9,0.0,0.0,1.0,0.0,1,0,14
1040777519,0,17.0,0.0,1.0,149585920.0,0.0,0,0,12,0.0,0.0,1.0,0.0,0,0,3
769479789,1,33.0,0.0,1.0,24707072.0,0.0,0,0,9,0.0,0.0,1.0,0.0,1,0,0
1421689429,1,10760.0,0.0,4.0,83936256.0,225.0,0,0,4,1.0,0.0,0.0,0.0,1,0,2
721838845,1,66.0,0.0,1.0,102670336.0,503.0,0,0,4,0.0,0.0,1.0,0.0,1,0,2
1288557147,1,2121.0,0.0,7.0,208151552.0,0.0,0,1,4,0.0,0.0,0.0,1.0,1,0,4
1102812738,1,19833.0,0.0,11.0,154613760.0,456.0,0,0,12,0.0,0.0,1.0,0.0,1,0,3
1299813911,0,5.0,0.0,1.0,259159040.0,208.0,0,0,9,0.0,0.0,0.0,0.0,1,0,5
1397245721,1,10.0,9.99,6.0,20114432.0,353.0,0,0,4,0.0,0.0,0.0,1.0,0,0,0
641255639,0,91.0,0.0,1.0,59461632.0,759.0,0,0,4,0.0,0.0,0.0,0.0,1,0,1
1188474283,0,28.0,0.0,1.0,58648576.0,47.0,0,0,4,0.0,0.0,0.0,0.0,1,0,1
889676146,1,9.0,0.0,2.0,5369856.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0,0,0
956169902,0,6.0,0.0,1.0,232820736.0,0.0,0,0,12,0.0,0.0,0.0,0.0,1,0,5
556014579,0,54.0,0.0,1.0,16425605.0,0.0,0,0,9,0.0,0.0,0.0,0.0,0,0,0
975107194,0,19.0,0.0,1.0,107851776.0,599.0,0,0,4,1.0,0.0,0.0,0.0,0,0,2
1217114666,0,23.0,0.0,1.0,91528192.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0,0,2
652197121,1,37.0,0.0,1.0,16318464.0,1407.0,0,0,4,1.0,0.0,0.0,0.0,0,0,0
1254933625,0,57.0,0.0,3.0,138716160.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,3
1443449100,1,321.0,0.0,1.0,465862656.0,175.0,0,0,4,0.0,0.0,1.0,0.0,1,0,9
1222628083,0,131.0,0.0,16.0,46710784.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0,0,1
567723770,0,56.0,1.99,21.0,43591680.0,2307.0,0,1,12,0.0,0.0,0.0,1.0,0,0,1
1126818150,0,14.0,0.0,14.0,335860736.0,7.0,0,0,9,0.0,1.0,0.0,0.0,1,0,7
1159510714,0,6.0,0.0,1.0,76467200.0,816.0,0,0,4,0.0,0.0,0.0,0.0,0,0,2
474177077,1,280.0,4.99,4.0,186659840.0,1844.0,0,0,4,0.0,1.0,0.0,0.0,0,0,4
666831789,1,13.0,0.0,1.0,4222976.0,34.0,0,0,4,1.0,0.0,0.0,0.0,1,0,0
483737492,1,13449.0,0.99,1.0,12479917.0,89.0,0,0,12,0.0,1.0,0.0,0.0,0,0,0
1183677827,0,9.0,0.0,1.0,122431488.0,155.0,0,0,4,0.0,1.0,0.0,0.0,1,0,2
868188579,1,21.0,0.0,1.0,7270400.0,153.0,0,0,4,0.0,0.0,0.0,1.0,1,0,0
732986807,1,132.0,0.0,1.0,61423616.0,551.0,0,0,4,0.0,0.0,1.0,0.0,1,0,1
1392141167,1,25.0,0.0,1.0,164823040.0,369.0,0,0,4,1.0,0.0,0.0,0.0,1,0,3
1128072002,1,11.0,0.0,1.0,5529600.0,4.0,1,0,4,0.0,0.0,0.0,0.0,0,0,0
455602152,1,2538.0,0.0,1.0,54642688.0,2904.0,0,0,4,0.0,0.0,0.0,1.0,1,0,1
1008115747,0,5.0,0.0,1.0,318094336.0,634.0,0,0,9,0.0,0.0,0.0,0.0,0,0,6
1221206958,1,17.0,0.0,1.0,109360128.0,0.0,0,0,17,0.0,0.0,0.0,0.0,1,1,2
954946083,1,14.0,0.0,1.0,287959040.0,156.0,0,0,9,0.0,0.0,0.0,0.0,1,0,6
1088291369,1,1075.0,0.0,1.0,193612800.0,869.0,0,0,12,0.0,0.0,1.0,0.0,1,0,4
1143061257,0,14.0,0.0,2.0,97103872.0,0.0,0,0,4,0.0,1.0,0.0,0.0,1,0,2
976962906,0,23.0,0.0,1.0,7880704.0,596.0,0,0,4,0.0,0.0,0.0,0.0,0,0,0
1345508571,0,6.0,0.0,1.0,114340864.0,363.0,0,0,4,0.0,1.0,0.0,0.0,1,0,2
1271306224,1,44.0,0.0,2.0,307974144.0,1.0,0,1,9,0.0,0.0,1.0,0.0,1,0,6
1023291955,0,9.0,0.99,1.0,58818560.0,129.0,0,0,9,0.0,0.0,0.0,0.0,0,0,1
962294634,1,11.0,0.0,1.0,13856768.0,29.0,0,0,4,0.0,0.0,0.0,0.0,1,0,0
487024834,1,7999.0,4.99,1.0,270357504.0,2650.0,0,0,4,0.0,0.0,0.0,0.0,0,0,5
709369213,1,16.0,0.0,1.0,47955968.0,0.0,1,0,4,0.0,0.0,0.0,0.0,1,0,1
522551995,1,18211.0,0.0,1.0,68914176.0,2515.0,0,1,4,1.0,0.0,0.0,0.0,1,0,1
874200464,0,184.0,0.0,1.0,138449920.0,1005.0,0,0,12,0.0,0.0,1.0,0.0,1,0,3
628615289,0,104.0,0.0,1.0,22941696.0,1040.0,0,0,4,0.0,0.0,0.0,0.0,1,0,0
721913689,1,13.0,0.0,1.0,19115008.0,1769.0,0,0,4,1.0,0.0,0.0,0.0,1,0,0
468753407,1,824.0,0.0,2.0,11225088.0,1410.0,0,0,9,0.0,0.0,0.0,0.0,1,0,0
1038163098,1,120.0,0.0,2.0,45379584.0,1295.0,0,0,4,1.0,0.0,0.0,0.0,1,0,1
1014125710,1,18.0,0.0,1.0,41144320.0,0.0,0,0,4,1.0,0.0,0.0,0.0,1,0,1
