,Average User Rating,User Rating Count,Price,In-app Purchases,Languages,Size,Update_Gap,Name,Subtitle,age_rating,GenreList,Puzzle,Simulation,Action,Board
73,3,5013,0,,1,54787072,2553 days 00:00:00.000000000,0,0,9,    Action  ,0,0,1,0
74,3.5,1119,2.99,,1,8881152,3064 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
75,3.5,2606,4.99,,1,107105280,3185 days 00:00:00.000000000,0,0,9,  Board  ,0,0,0,1
76,4.5,863,3.99,,2,33033216,2760 days 00:00:00.000000000,0,0,4,  Board  Education  ,0,0,0,1
77,3,1926,0,,1,108253184,3177 days 00:00:00.000000000,0,0,4,      Word,0,0,0,0
78,2.5,1848,0,,2,1326164,634 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
79,3,24821,0,,1,14717952,3064 days 00:00:00.000000000,0,1,4,    Puzzle  ,1,0,0,0
80,3.5,2503,0,,1,2582857,478 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
81,4,16693,0.99,,1,5500291,1029 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
82,3.5,191081,0,,1,65303552,3357 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
83,4,2767,1.99,,1,30746624,3080 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
84,3.5,14073,0,"9.99, 2.99, 4.99, 19.99, 5.49, 23.49, 49.99, 36.99, 13.99, 99.99",13,115074048,3753 days 00:00:00.000000000,0,1,9,      Role Playing,0,0,0,0
85,4.5,5543,4.99,"0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",1,39997440,2695 days 00:00:00.000000000,0,0,9,  Family    ,0,0,0,0
86,3,12659,0.99,,1,10308608,3004 days 00:00:00.000000000,0,0,4,    Action,0,0,1,0
87,4,90386,0,"4.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",1,43073536,2695 days 00:00:00.000000000,0,0,9,    Family  ,0,0,0,0
88,3,40,0,,1,2004992,3089 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
89,2,353,0,,1,2818386,0 days 00:00:00.000000000,0,0,4,  Casual  ,0,0,0,0
90,2.5,47,0,,1,6994639,66 days 00:00:00.000000000,0,0,4,  ,0,0,0,0
91,3,866,0,,2,10136576,2458 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
92,3.5,3416,0,,1,8646161,1294 days 00:00:00.000000000,0,0,4,    Role Playing  ,0,0,0,0
93,3.5,67670,0.99,,1,7703552,2973 days 00:00:00.000000000,0,0,4,    Action,0,0,1,0
94,2.5,634,0,"0.99, 0.99",11,3396500,736 days 00:00:00.000000000,0,0,4,    Simulation,0,1,0,0
95,3,282,2.99,,1,4225024,3120 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
96,3.5,93235,0.99,"0.99, 0.99, 0.99, 1.99, 0.99, 2.99, 4.99, 0.99, 0.99, 0.99",1,259371008,3134 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
97,4,569,2.99,,9,23805952,3285 days 00:00:00.000000000,0,1,4,    Board  ,0,0,0,1
98,3.5,127,2.99,,3,3684352,3082 days 00:00:00.000000000,0,0,4,    Card  ,0,0,0,0
99,4,193923,0,,5,233482240,3028 days 00:00:00.000000000,0,0,4,  Action    ,0,0,1,0
100,4,42389,2.99,"1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99",2,56048640,3207 days 00:00:00.000000000,0,0,9,    Puzzle,1,0,0,0
101,3.5,207,3.99,,1,23740416,2340 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
102,3,16554,0,0.99,1,6338617,1029 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
103,3,6906,0,,1,12120793,1154 days 00:00:00.000000000,0,0,12,    Simulation  ,0,1,0,0
104,3,9,1.99,,2,20501504,2696 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
105,3.5,2110,0,"1.99, 9.99, 0.99, 9.99, 2.99, 0.99, 19.99, 0.99, 0.99, 9.99",1,76698624,2559 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
106,3.5,267,3.99,,1,39074816,3405 days 00:00:00.000000000,0,0,12,    Board  ,0,0,0,1
107,2,704,0,,1,413902,0 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
108,3.5,23854,0.99,,1,44707840,2873 days 00:00:00.000000000,0,0,12,  Adventure  ,0,0,0,0
109,3,847,0.99,,1,995328,2937 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
110,3,233,0,,1,761856,2847 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
111,3,5,0.99,,1,2137088,3557 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
112,4.5,14864,0,"1.99, 7.99, 29.99, 19.99",1,47129600,3660 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
113,2.5,43,0,,1,41591808,3294 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
114,1.5,8,1.99,,1,82583552,2638 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
115,2.5,3593,0,,3,7750656,3142 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
116,3,344,0,,1,4578541,0 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
117,4.5,36581,0,,1,69393408,3632 days 00:00:00.000000000,0,1,4,    Board  ,0,0,0,1
118,4.5,36581,0,,1,69393408,3632 days 00:00:00.000000000,0,1,4,    Board  ,0,0,0,1
119,3,302,0,,1,85569536,1736 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
120,4,5778,1.99,"0.99, 0.99",1,253834240,2707 days 00:00:00.000000000,0,0,12,  Action    ,0,0,1,0
121,4.5,27739,0,"4.99, 9.99, 3.99, 4.99, 3.99, 9.99, 19.99, 49.99, 99.99",20,104436736,1293 days 00:00:00.000000000,0,0,9,      Role Playing,0,0,0,0
